checking_account_status,duration_months,credit_amount,savings_account,employment_since,installment_rate_pct,residence_since,property,age,existing_credits_count,job,num_dependents,target,debt_to_income_proxy,age_band,credit_history_A31,credit_history_A32,credit_history_A33,credit_history_A34,purpose_A41,purpose_A410,purpose_A42,purpose_A43,purpose_A44,purpose_A45,purpose_A46,purpose_A48,purpose_A49,personal_status_sex_A92,personal_status_sex_A93,personal_status_sex_A94,other_debtors_A102,other_debtors_A103,other_installment_plans_A142,other_installment_plans_A143,housing_A152,housing_A153,telephone_A192,foreign_worker_A202
3,30,4530,0,3,4,4,2,26,1,3,1,1,181.2,25-40,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
1,30,2503,1,4,4,2,1,41,2,2,1,1,100.12,40-60,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False
1,12,1567,0,2,1,1,2,22,1,2,1,1,15.67,<25,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False
1,21,3976,4,3,2,3,2,35,1,2,1,1,79.52,25-40,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False
3,9,2301,1,1,2,4,1,22,1,2,1,1,46.02,<25,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,12,1372,0,3,2,3,2,36,1,2,1,0,27.44,25-40,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
3,24,1559,0,3,4,4,2,50,1,2,1,1,62.36,40-60,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
0,6,428,0,4,2,1,1,49,1,2,1,1,8.56,40-60,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
3,21,2993,0,2,3,2,0,28,2,1,1,1,89.79,25-40,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
0,20,2212,4,3,4,4,2,39,1,2,1,1,88.48,25-40,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False
0,12,1228,0,2,4,2,0,24,1,1,1,0,49.12,<25,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
3,24,2397,2,4,3,2,2,35,2,2,1,0,71.91,25-40,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
3,9,2507,2,4,2,4,3,51,1,1,1,1,50.14,40-60,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
3,30,2831,0,2,4,2,2,33,1,2,1,1,113.24,25-40,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False
3,15,3594,0,1,1,2,1,46,2,1,1,1,35.94,40-60,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
3,12,763,0,2,4,1,0,26,1,2,1,1,30.52,25-40,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False
0,48,7476,0,3,4,1,3,50,1,3,1,1,299.04,40-60,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False
0,24,915,4,4,4,2,2,29,1,2,1,0,36.6,25-40,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1,12,951,1,1,4,4,2,27,4,2,1,0,38.04,25-40,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0,18,1936,4,3,2,4,2,23,2,1,1,1,38.72,<25,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
1,24,4241,0,2,1,4,0,36,3,1,1,0,42.41,25-40,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False
3,21,12680,4,4,4,4,3,30,1,3,1,0,507.2,25-40,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False
0,15,975,0,2,2,3,1,25,2,2,1,1,19.5,25-40,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
3,6,1338,2,2,1,4,0,62,1,2,1,1,13.38,60+,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
1,12,2930,0,3,2,1,0,27,1,2,1,1,58.6,25-40,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
